Age,MTCO
125865,-6.5
126100,-6
126252,-1.6
126319,-6.4
126341,4.2
126792,-4.2
126984,-1.7
127125,-1.7
127224,-3.2
127274,-1
127310,1.5
127342,-1
127359,0
127379,-0.3
127446,-5.5
127525,-4
127541,-5.5
127606,-5
127622,-6.2
127656,-5.7
127687,-4.8
127745,1.5
127889,-3.4
127958,-1.7
128055,-4.5
128088,-0.6
128143,-0.3
128197,0
128218,0.3
128236,0.8
128440,-2.8
128569,-2.9
128863,0
128961,-1.2
128966,-0.7
129455,0
129612,-0.3
129887,-0.8
130028,-0.6
130095,-1
130095,-1
130291,-0.6
130506,0.2
130551,-0.1
130755,-0.6
131002,0.6
131066,1.6
131119,0.8
131256,1.2
131336,1.1
131370,-0.3
131453,2.4
131514,-7.2
131552,-1.8
131597,2.5
131645,1.5
131709,0.1
131715,3.5
131801,1.9
131922,1.3
132164,0.8
132227,8.8
132313,-4.4
132386,4.9
132413,-7.9
132454,1.8
132487,9.2
132523,-4.7
132537,-10.1
132586,5.5
132647,-2.2
132679,-3.7
132794,-4.3
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
132809,-10.9
