Age,Del 18O
25540,-41.55
25560,-42.79
25580,-42.32
25600,-42.79
25620,-43.48
25640,-42.93
25660,-42.82
25680,-43.13
25700,-43.31
25720,-41.59
25740,-41.1
25760,-42.26
25780,-40.86
25800,-42.38
25820,-40.4
25840,-39.28
25860,-43.05
25880,-40.83
25900,-40.92
25920,-40.44
25940,-41.53
25960,-41.84
25980,-42.69
26000,-40.81
26020,-40.96
26040,-41.86
26060,-41.16
26080,-42.88
26100,-40.64
26120,-40.9
26140,-40.5
26160,-39.5
26180,-39.5
26200,-38.76
26220,-40.98
26240,-41.5
26260,-40.55
26280,-41.21
26300,-39.83
26320,-41.22
26340,-40.46
26360,-40.33
26380,-41.15
26400,-41.31
26420,-41.58
26440,-40.86
26460,-40.56
26480,-40.95
26500,-41.21
26520,-41.19
26540,-41.25
26560,-40.56
26580,-40.44
26600,-40.55
26620,-40.63
26640,-41.4
26660,-40.63
26680,-41.41
26700,-42.08
26720,-41.71
26740,-39.98
26760,-41.34
26780,-41.49
26800,-40.39
26820,-41.07
26840,-40.17
26860,-40.63
26880,-39.37
26900,-39.92
26920,-39.54
26940,-40.04
26960,-39.68
26980,-41.04
27000,-41.16
27020,-41.69
27040,-42.37
27060,-40.55
27080,-40.92
27100,-39.75
27120,-40.25
27140,-40.58
27160,-40.61
27180,-39.61
27200,-39.75
27220,-41.26
27240,-42.21
27260,-40.54
27280,-41.46
27300,-41.28
27320,-39.75
27340,-41.06
27360,-42.04
27380,-40.61
27400,-42.6
27420,-42.23
27440,-41.06
27460,-41.15
27580,-39.3
27600,-38.85
27620,-38.5
27640,-38.55
27660,-37.44
27680,-38.45
27700,-38.65
27720,-37.66
27740,-37.45
27760,-37.23
27780,-37.14
27800,-37.41
27820,-37.58
27840,-37.12
27860,-37.6
27880,-39.5
27900,-40.53
27920,-41.38
27940,-40.76
27960,-40.63
27980,-41.05
28000,-40.93
28020,-41.3
28040,-40.62
28060,-39.29
28080,-40.9
28100,-42.47
28120,-41.35
28140,-42.12
28160,-42.71
28180,-41.59
28200,-42.6
28220,-41.39
28240,-40.68
28260,-40.02
28280,-39.93
28300,-41.96
28320,-41.04
28340,-43.12
28360,-41.01
28380,-41.47
28400,-41.32
28420,-42.29
28440,-41.85
28460,-40.09
28480,-41.09
28500,-42.13
28520,-41.35
28540,-42.65
28560,-41.46
28580,-41.76
28600,-40.09
28620,-41.5
28640,-41.14
28660,-41.45
28680,-41.1
28700,-38.74
28720,-38.84
28740,-39.7
28760,-38.03
28780,-37.87
28800,-38.75
28820,-38.49
28840,-37.95
28860,-39.48
28880,-39.31
28900,-37.93
28920,-37.23
28940,-36.93
28960,-37.69
28980,-38.46
29000,-37.21
29020,-38.24
29040,-38.96
29060,-40.16
29080,-40.6
29100,-40.66
29120,-40.39
29140,-40.16
29160,-41.64
29180,-41.86
29200,-41.45
29220,-42.15
29240,-42.66
29260,-41.46
29280,-42.21
29300,-41.68
29320,-40.82
29340,-39.73
29360,-41.29
29380,-41.64
29400,-42.4
29420,-42.59
29440,-41.65
29460,-41.95
29480,-40.36
29500,-40.93
29520,-41.64
29540,-42.55
29560,-41.74
29580,-42.12
29600,-40.23
29620,-42.75
29640,-43.35
29660,-43.77
29680,-43.61
29700,-42.04
29720,-42.62
29740,-43.52
29760,-42.43
29780,-42.76
29800,-41.69
29820,-41.45
29840,-42.17
29860,-41.69
29880,-42.33
29900,-42.68
29920,-42.17
29940,-42.47
29960,-43.45
29980,-42.43
30000,-41.99
30020,-43.25
30040,-42.77
30060,-40.91
30080,-43.43
30100,-42.34
30120,-42.33
30140,-42.77
30160,-42.38
30180,-43.53
30200,-42.72
30220,-43.18
30240,-41.17
30260,-41.33
30280,-42.03
30300,-41.88
30320,-41.45
30340,-41.09
30360,-40.76
30380,-41.7
30400,-42.53
30420,-42.65
30440,-42.98
30460,-41.89
30480,-41.78
30500,-42.51
30520,-41.71
30540,-40.64
30560,-41.55
30580,-41.22
30600,-41.32
30620,-40.8
30640,-41.82
30660,-41.95
30680,-42.39
30700,-40.43
30720,-41.68
30740,-42.15
30760,-43.52
30780,-43.4
30800,-43.14
30820,-41.84
30840,-41.99
30860,-42.56
30880,-43.63
30900,-42.68
30920,-41.96
30940,-42.1
30960,-42.54
30980,-42.58
31000,-42.17
31020,-41.85
31040,-40.06
31060,-41.21
31080,-41.94
31100,-42.52
31120,-42.82
31140,-42.45
31160,-42.71
31180,-42.72
31200,-42.27
31220,-41.97
31240,-40.97
31260,-42.69
31280,-42.1
31300,-42.31
31320,-42.82
31340,-42.77
31360,-41.46
31380,-42.3
31400,-43.21
31420,-43.06
31440,-40.98
31460,-42.24
31480,-42.57
31500,-42.17
31520,-40.98
31540,-42.04
31560,-41.48
31580,-42.57
31600,-42.07
31620,-42.74
31640,-40.9
31660,-40.84
31680,-40.87
31700,-39.74
31720,-41.05
31740,-40.29
31760,-40.08
31780,-39.09
31800,-40.87
31820,-39.24
31840,-39.86
31860,-39.31
31880,-39.59
31900,-39.15
31920,-40.29
31940,-37.85
31960,-39.48
31980,-40.18
32000,-37.7
32020,-39.01
32040,-38.47
32060,-39.48
32080,-38.83
32100,-38.34
32120,-38.8
32140,-37.57
32160,-37.75
32180,-37.92
32200,-38.54
32220,-37.28
32240,-38.32
32260,-38.92
32280,-38.24
32300,-37.64
32320,-38.88
32340,-39.62
32360,-41.13
32380,-41.45
32400,-41.22
32420,-42.65
32440,-40.79
32460,-41.93
32480,-41.82
32500,-41.43
32520,-41.21
32540,-42.12
32560,-44.07
32580,-41.67
32600,-42.12
32620,-42.39
32640,-42.91
32660,-43.56
32680,-42.02
32700,-41.18
32720,-42.5
32740,-42.8
32760,-41.82
32780,-41.89
32800,-43.04
32820,-43.05
32840,-42.76
32860,-41.39
32880,-42.31
32900,-43.1
32920,-42.34
32940,-41.87
32960,-42.76
32980,-43.29
33000,-44.09
33020,-43.34
33040,-42.4
33060,-42.2
33080,-40.5
33100,-40.99
33120,-39.97
33140,-39.95
33160,-39.91
33180,-39.12
33200,-39.51
33220,-39.07
33240,-40
33260,-38.62
33280,-38.98
33300,-38.64
33320,-40.05
33340,-37.99
33360,-37.98
33380,-39.54
33400,-39.25
33420,-38.97
33440,-39.11
33460,-39.24
33480,-38.96
33500,-38.64
33520,-38.12
33540,-37.63
33560,-37.87
33580,-38.1
33600,-38.17
33620,-39.12
33640,-39.62
33660,-41.75
33680,-40.71
33700,-40.15
33720,-41.52
33740,-41.04
33760,-41.14
33780,-41.21
33800,-41.9
33820,-42.38
33840,-40.66
33860,-41.95
33880,-41.22
33900,-42.32
33920,-41.54
33940,-43.33
33960,-40.97
33980,-41.36
34000,-41.78
34020,-40.64
34040,-40.4
34060,-41.35
34080,-42.17
34100,-41.19
34120,-41.5
34140,-42.31
34160,-41.53
34180,-42.75
34200,-41.25
34220,-41.69
34240,-42.86
34260,-41.24
34280,-43.24
34300,-42.34
34320,-41.31
34340,-42.02
34360,-42.38
34380,-41.17
34400,-42.21
34420,-42.25
34440,-41.79
34460,-41.48
34480,-42.26
34500,-41.61
34520,-40.26
34540,-39.66
34560,-38.92
34580,-38.93
34600,-39.78
34620,-39.67
34640,-39.44
34660,-39.81
34680,-39.11
34700,-39.72
34720,-40.28
34740,-39.61
34760,-40.2
34780,-40.57
34800,-40.82
34820,-40.2
34840,-39.01
34860,-38.95
34880,-38.93
34900,-38.72
34920,-39.31
34940,-39.31
34960,-38.07
34980,-38.44
35000,-38.22
35020,-38.94
35040,-37.55
35060,-38.68
35080,-38.71
35100,-39.06
35120,-37.71
35140,-38.67
35160,-38.17
35180,-37.87
35200,-38.48
35220,-38.04
35240,-37.44
35260,-38.79
35280,-38.57
35300,-38.72
